,SubjectID,ProgFI,A,L,K
242,183.0,15.0,4.578835356251274,6.783363915542472,3.9578740557599557
243,183.0,17.2,3.9170581347715063,8.639199332644587,3.1292081565950176
244,183.0,23.59,3.9683621770365547,9.123739551573692,6.561023934787822
245,183.0,33.55,3.7442391597455513,12.643745332515973,3.933059709980941
246,183.0,46.09,4.093317302702535,22.890295784005957,2.10077834937057
247,183.0,60.0,4.202824631848499,38.26317920309795,3.7676822937980354
248,183.0,73.91,3.9279246837108324,49.05231292847862,4.618307392124443
249,183.0,86.45,4.149182604855403,53.72018835499852,4.182324848789762
250,183.0,96.41,4.060828383984902,52.32220901558136,6.344664368314433
251,183.0,102.8,4.074650723240173,60.5185649885229,6.971317657620021
252,183.0,105.0,4.104075349157204,59.56466036606096,6.293775132144413
253,184.0,15.0,4.2348137958207905,5.4775194568489125,8.57387733694627
254,184.0,17.2,4.306686604136599,6.77291526274412,8.894939804854358
255,184.0,23.59,4.108419203820359,8.878625691361112,4.699492579071951
256,184.0,33.55,3.8459379006001915,13.37970137794568,4.245220173250841
257,184.0,46.09,3.991668702020516,25.46930485548478,7.453959361862402
258,184.0,60.0,3.709431716792628,42.81445226240155,5.854856431149783
259,184.0,73.91,3.68308628596258,51.23324652135236,5.265464010593756
260,184.0,86.45,4.128970246642581,62.18909030292528,7.481116731844885
261,184.0,96.41,4.0630391146345035,67.17163080951293,6.935731702455594
262,184.0,102.8,3.654899703293137,62.305405055409246,10.195073314108837
263,184.0,105.0,3.9294220734433245,65.69750936834564,11.468226412304888
